,layer_height,infill_density,nozzle_temperature,print_speed,roughness,infill_pattern_concentric,infill_pattern_grid,infill_pattern_honeycomb,infill_pattern_line,infill_pattern_rectilinear,infill_pattern_solid,infill_pattern_triangle,infill_pattern_zigzag,material_abs,material_pla,material_pla-aluminum,
0,0.02,90,220,40,25,0,1,0,0,0,0,0,0,1,0,0,1
1,0.02,90,225,40,32,0,0,1,0,0,0,0,0,1,0,0,1
2,0.02,80,230,40,40,0,1,0,0,0,0,0,0,1,0,0,1
3,0.02,70,240,40,68,0,0,1,0,0,0,0,0,1,0,0,1
4,0.02,90,250,40,92,0,1,0,0,0,0,0,0,1,0,0,1
5,0.02,40,200,40,60,0,0,1,0,0,0,0,0,0,1,0,1
6,0.02,10,205,40,55,0,1,0,0,0,0,0,0,0,1,0,1
7,0.02,10,210,40,21,0,0,1,0,0,0,0,0,0,1,0,1
8,0.02,70,215,40,24,0,1,0,0,0,0,0,0,0,1,0,1
9,0.02,40,220,40,30,0,0,1,0,0,0,0,0,0,1,0,1
10,0.06,80,220,60,75,0,1,0,0,0,0,0,0,1,0,0,1
11,0.06,20,225,60,92,0,0,1,0,0,0,0,0,1,0,0,1
12,0.06,50,230,60,118,0,1,0,0,0,0,0,0,1,0,0,1
13,0.06,10,240,60,200,0,0,1,0,0,0,0,0,1,0,0,1
14,0.06,50,250,60,220,0,1,0,0,0,0,0,0,1,0,0,1
15,0.06,90,200,60,126,0,0,1,0,0,0,0,0,0,1,0,1
16,0.06,40,205,60,145,0,1,0,0,0,0,0,0,0,1,0,1
17,0.06,30,210,60,88,0,0,1,0,0,0,0,0,0,1,0,1
18,0.06,80,215,60,92,0,1,0,0,0,0,0,0,0,1,0,1
19,0.06,50,220,60,74,0,0,1,0,0,0,0,0,0,1,0,1
20,0.1,40,220,120,120,0,1,0,0,0,0,0,0,1,0,0,1
21,0.1,30,225,120,144,0,0,1,0,0,0,0,0,1,0,0,1
22,0.1,50,230,120,265,0,1,0,0,0,0,0,0,1,0,0,1
23,0.1,80,240,120,312,0,0,1,0,0,0,0,0,1,0,0,1
24,0.1,60,250,120,368,0,1,0,0,0,0,0,0,1,0,0,1
25,0.1,50,200,120,180,0,0,1,0,0,0,0,0,0,1,0,1
26,0.1,40,205,120,176,0,1,0,0,0,0,0,0,0,1,0,1
27,0.1,50,210,120,128,0,0,1,0,0,0,0,0,0,1,0,1
28,0.1,90,215,120,138,0,1,0,0,0,0,0,0,0,1,0,1
29,0.1,30,220,120,121,0,0,1,0,0,0,0,0,0,1,0,1
30,0.15,50,220,60,168,0,1,0,0,0,0,0,0,1,0,0,1
31,0.15,10,225,60,154,0,0,1,0,0,0,0,0,1,0,0,1
32,0.15,50,230,60,225,0,1,0,0,0,0,0,0,1,0,0,1
